# Observert dognnedbor, lygna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN41480 (Aseral - Kyrkjebygda, 19.4 km), reserve SN42520 (Risnes i Fjotland, 25.1 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2018-08-21;0.0;SN41480
2018-08-22;4.7;SN41480
2018-08-23;9.5;SN41480
2018-08-24;0.2;SN41480
2018-08-25;2.4;SN41480
2018-08-26;0.1;SN41480
2018-08-27;6.8;SN41480
2018-08-28;13.4;SN41480
2018-08-29;0.0;SN41480
2018-08-30;24.8;SN41480
2018-08-31;0.0;SN41480
2019-06-01;7.3;SN41480
2019-06-02;1.4;SN41480
2019-06-03;5.0;SN41480
2019-06-04;0.1;SN41480
2019-06-05;7.2;SN41480
2019-06-06;1.8;SN41480
2019-06-07;1.2;SN41480
2019-06-08;0.1;SN41480
2019-06-09;27.5;SN41480
2019-06-10;3.3;SN41480
2019-06-11;0.0;SN41480
2019-06-12;17.4;SN41480
2019-06-13;6.0;SN41480
2019-06-14;9.3;SN41480
2019-06-15;0.0;SN41480
2019-06-16;7.2;SN41480
2019-06-17;0.4;SN41480
2019-06-18;0.8;SN41480
2019-06-19;0.1;SN41480
2019-06-20;5.1;SN41480
2019-06-21;2.0;SN41480
2019-06-22;3.1;SN41480
2019-06-23;0.0;SN41480
2019-06-24;0.0;SN41480
2019-06-25;0.2;SN41480
2019-06-26;6.6;SN41480
2019-06-27;0.0;SN41480
2019-06-28;0.0;SN41480
2019-06-29;0.0;SN41480
2019-06-30;0.0;SN41480
2019-07-01;0.8;SN41480
2019-07-02;0.9;SN41480
2019-07-03;0.0;SN41480
2019-07-04;0.0;SN41480
2019-07-05;0.1;SN41480
2019-07-06;0.5;SN41480
2019-07-07;1.2;SN41480
2019-07-08;21.9;SN41480
2019-07-09;1.8;SN41480
2019-07-10;4.5;SN41480
2019-07-11;0.9;SN41480
2019-07-12;0.0;SN41480
2019-07-13;0.0;SN41480
2019-07-14;7.0;SN41480
2019-07-15;0.0;SN41480
2019-07-16;0.0;SN41480
2019-07-17;0.0;SN41480
2019-07-18;0.0;SN41480
2019-07-19;23.0;SN41480
2019-07-20;0.0;SN41480
2019-07-21;50.1;SN41480
2019-07-22;1.9;SN41480
2019-07-23;7.3;SN41480
2019-07-24;0.0;SN41480
2019-07-25;0.0;SN41480
2019-07-26;0.0;SN41480
2019-07-27;0.0;SN41480
