# Observert dognnedbor, sygna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN39150 (Kristiansand - Somskleiva, 12.7 km), reserve SN39040 (Kjevik, 15.0 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2019-06-17;0.0;SN39150
2019-06-18;0.0;SN39150
2019-06-19;0.0;SN39150
2019-06-20;20.6;SN39150
2019-06-21;2.3;SN39150
2019-06-22;0.2;SN39150
2019-06-23;0.0;SN39150
2019-06-24;0.0;SN39150
2019-06-25;0.0;SN39150
2019-06-26;0.9;SN39150
2019-06-27;0.0;SN39150
2019-06-28;0.0;SN39150
2019-06-29;0.0;SN39150
2019-06-30;0.0;SN39150
2019-07-01;0.9;SN39150
2019-07-02;0.0;SN39150
2019-07-03;0.0;SN39150
2019-07-04;0.0;SN39150
2019-07-05;0.0;SN39150
2019-07-06;0.1;SN39150
2019-07-07;1.1;SN39150
2019-07-08;0.0;SN39150
2019-07-09;0.0;SN39150
2019-07-10;2.6;SN39150
2019-07-11;0.0;SN39150
2019-07-12;0.0;SN39150
2019-07-13;0.0;SN39150
2019-07-14;0.0;SN39150
2019-07-15;0.0;SN39150
2019-07-16;0.0;SN39150
2019-07-17;0.0;SN39150
2019-07-18;0.0;SN39150
2019-07-19;5.6;SN39150
2019-07-20;0.1;SN39150
2019-07-21;30.9;SN39040
2019-07-22;1.1;SN39150
2019-07-23;11.0;SN39150
2019-07-24;0.0;SN39150
2019-07-25;0.6;SN39150
2019-07-26;0.1;SN39150
2019-07-27;0.0;SN39150
2019-07-28;0.0;SN39150
2019-07-29;3.0;SN39150
2019-07-30;0.0;SN39150
2019-07-31;16.8;SN39150
2019-08-01;12.3;SN39150
2019-08-02;0.0;SN39150
2019-08-03;0.0;SN39150
2019-08-04;3.9;SN39150
2019-08-05;0.1;SN39150
2019-08-06;23.0;SN39040
2019-08-07;3.9;SN39040
2019-08-08;1.9;SN39040
2019-08-09;2.8;SN39040
2019-08-10;33.6;SN39040
2019-08-11;14.5;SN39040
2019-08-12;5.3;SN39040
2019-08-13;0.6;SN39040
2019-08-14;;
2019-08-15;0.0;SN39040
2019-08-16;8.5;SN39040
2019-08-17;34.6;SN39040
2019-08-18;11.3;SN39040
2019-08-19;16.3;SN39040
2019-08-20;3.8;SN39040
2019-08-21;0.9;SN39040
2019-08-22;4.8;SN39040
2019-08-23;27.5;SN39040
2019-08-24;0.2;SN39040
2019-08-25;0.0;SN39040
2019-08-26;0.0;SN39040
2019-08-27;0.0;SN39040
2019-08-28;0.0;SN39040
2019-08-29;5.5;SN39040
2019-08-30;1.7;SN39040
2019-08-31;0.0;SN39040
2020-06-01;0.0;SN39150
2020-06-02;0.0;SN39150
2020-06-03;0.0;SN39150
2020-06-04;7.9;SN39150
2020-06-05;35.5;SN39150
2020-06-06;4.7;SN39150
2020-06-07;0.0;SN39150
2020-06-08;0.0;SN39150
2020-06-09;0.0;SN39150
2020-06-10;0.9;SN39150
2020-06-11;0.0;SN39150
2020-06-12;0.0;SN39150
2020-06-13;1.1;SN39150
2020-06-14;26.2;SN39150
2020-06-15;0.0;SN39150
2020-06-16;0.0;SN39150
2020-06-17;0.0;SN39150
2020-06-18;0.0;SN39150
2020-06-19;0.0;SN39150
2020-06-20;3.9;SN39150
2020-06-21;6.1;SN39150
2020-06-22;4.8;SN39150
2020-06-23;0.0;SN39150
2020-06-24;0.0;SN39150
2020-06-25;0.0;SN39150
2020-06-26;0.0;SN39150
2020-06-27;0.0;SN39150
2020-06-28;13.3;SN39150
2020-06-29;8.1;SN39150
2020-06-30;27.5;SN39150
2020-07-01;5.4;SN39150
2020-07-02;0.1;SN39150
2020-07-03;0.0;SN39150
2020-07-04;9.8;SN39150
2020-07-05;14.0;SN39150
2020-07-06;14.4;SN39150
2020-07-07;0.0;SN39150
2020-07-08;0.2;SN39150
2020-07-09;0.0;SN39150
2020-07-10;0.0;SN39150
2020-07-11;1.9;SN39150
2020-07-12;0.0;SN39150
2020-07-13;0.0;SN39150
2020-07-14;3.6;SN39040
2020-07-15;2.2;SN39040
2020-07-16;0.0;SN39040
2020-07-17;0.0;SN39040
2020-07-18;0.0;SN39040
2020-07-19;18.3;SN39040
2020-07-20;1.0;SN39040
2020-07-21;0.0;SN39040
2020-07-22;0.0;SN39040
2020-07-23;0.0;SN39040
2020-07-24;42.8;SN39040
2020-07-25;1.0;SN39040
2020-07-26;10.1;SN39040
2020-07-27;16.4;SN39040
2020-07-28;28.2;SN39040
2020-07-29;6.5;SN39040
2020-07-30;0.1;SN39040
2020-07-31;0.0;SN39040
2020-08-01;0.1;SN39040
2020-08-02;1.6;SN39040
2020-08-03;0.1;SN39040
2020-08-04;0.0;SN39040
2020-08-05;13.1;SN39040
2020-08-06;7.9;SN39040
2020-08-07;0.0;SN39040
2020-08-08;0.1;SN39040
2020-08-09;0.0;SN39040
2020-08-10;0.0;SN39040
2020-08-11;0.0;SN39040
2020-08-12;0.0;SN39040
2020-08-13;0.1;SN39040
2020-08-14;0.0;SN39150
2020-08-15;0.1;SN39150
2020-08-16;0.0;SN39150
2020-08-17;0.0;SN39150
2020-08-18;0.0;SN39150
2020-08-19;0.0;SN39150
2020-08-20;0.0;SN39150
2020-08-21;12.6;SN39150
2020-08-22;20.2;SN39150
2020-08-23;7.4;SN39150
2020-08-24;0.1;SN39150
2020-08-25;0.0;SN39150
2020-08-26;4.6;SN39150
2020-08-27;0.9;SN39150
2020-08-28;0.6;SN39150
2020-08-29;12.9;SN39150
2020-08-30;0.0;SN39150
2020-08-31;0.0;SN39150
2021-06-01;0.0;SN39150
2021-06-02;0.0;SN39150
2021-06-03;0.3;SN39150
2021-06-04;37.3;SN39150
2021-06-05;0.1;SN39150
2021-06-06;0.8;SN39150
2021-06-07;0.0;SN39150
2021-06-08;0.0;SN39150
2021-06-09;0.0;SN39150
2021-06-10;0.0;SN39150
2021-06-11;0.0;SN39150
2021-06-12;0.5;SN39150
2021-06-13;0.0;SN39150
2021-06-14;0.2;SN39150
2021-06-15;26.0;SN39150
2021-06-16;0.0;SN39150
2021-06-17;0.0;SN39150
2021-06-18;4.2;SN39150
2021-06-19;0.1;SN39150
2021-06-20;0.0;SN39150
2021-06-21;12.7;SN39150
2021-06-22;1.1;SN39150
2021-06-23;0.0;SN39150
2021-06-24;0.0;SN39150
2021-06-25;0.0;SN39150
2021-06-26;0.0;SN39150
2021-06-27;0.0;SN39150
2021-06-28;0.0;SN39150
2021-06-29;0.0;SN39150
2021-06-30;0.0;SN39150
2021-07-01;0.0;SN39150
2021-07-02;0.8;SN39150
2021-07-03;6.4;SN39150
2021-07-04;2.2;SN39150
2021-07-05;7.7;SN39150
2021-07-06;2.9;SN39150
2021-07-07;8.5;SN39150
2021-07-08;0.0;SN39150
2021-07-09;1.5;SN39150
2021-07-10;0.0;SN39150
2021-07-11;0.0;SN39150
2021-07-12;0.0;SN39150
2021-07-13;0.0;SN39150
2021-07-14;0.0;SN39150
2021-07-15;0.0;SN39150
2021-07-16;0.0;SN39150
2021-07-17;0.0;SN39150
2021-07-18;0.0;SN39150
2021-07-19;0.0;SN39150
2021-07-20;0.0;SN39150
2021-07-21;0.0;SN39150
2021-07-22;0.0;SN39150
2021-07-23;0.0;SN39150
2021-07-24;0.0;SN39150
2021-07-25;0.0;SN39150
2021-07-26;0.0;SN39150
2021-07-27;22.6;SN39150
2021-07-28;5.5;SN39150
2021-07-29;11.8;SN39150
2021-07-30;9.6;SN39150
2021-07-31;0.0;SN39150
2021-08-01;0.0;SN39150
2021-08-02;5.6;SN39150
2021-08-03;0.0;SN39150
2021-08-04;0.0;SN39150
2021-08-05;0.0;SN39150
2021-08-06;0.2;SN39150
2021-08-07;1.1;SN39150
2021-08-08;11.6;SN39150
2021-08-09;18.6;SN39150
2021-08-10;2.7;SN39150
2021-08-11;16.4;SN39150
2021-08-12;0.0;SN39150
2021-08-13;0.6;SN39150
2021-08-14;8.1;SN39150
2021-08-15;0.8;SN39150
2021-08-16;0.5;SN39150
2021-08-17;24.7;SN39150
2021-08-18;0.0;SN39150
2021-08-19;0.0;SN39150
2021-08-20;0.0;SN39150
2021-08-21;0.0;SN39150
2021-08-22;0.0;SN39150
2021-08-23;0.0;SN39150
2021-08-24;0.0;SN39150
2021-08-25;3.6;SN39150
2021-08-26;0.0;SN39150
2021-08-27;0.0;SN39150
2021-08-28;0.0;SN39150
2021-08-29;0.0;SN39150
2021-08-30;0.0;SN39150
2021-08-31;0.0;SN39150
2022-06-01;23.9;SN39040
2022-06-02;0.0;SN39040
2022-06-03;0.0;SN39040
2022-06-04;0.0;SN39040
2022-06-05;0.0;SN39040
2022-06-06;0.0;SN39040
2022-06-07;4.6;SN39040
2022-06-08;6.5;SN39040
2022-06-09;0.0;SN39040
2022-06-10;9.4;SN39150
2022-06-11;0.4;SN39150
2022-06-12;0.6;SN39150
2022-06-13;0.0;SN39150
2022-06-14;0.0;SN39150
2022-06-15;0.0;SN39150
2022-06-16;0.0;SN39150
2022-06-17;0.0;SN39150
2022-06-18;10.2;SN39150
2022-06-19;0.0;SN39150
2022-06-20;0.0;SN39150
2022-06-21;0.0;SN39150
2022-06-22;0.0;SN39150
2022-06-23;0.0;SN39150
2022-06-24;0.0;SN39150
2022-06-25;0.2;SN39150
2022-06-26;0.0;SN39150
2022-06-27;1.1;SN39150
2022-06-28;16.0;SN39150
