# Observert dognnedbor, audna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN41175 (Laudal - Kleiven, 2.4 km), reserve SN41860 (Kvineshei - Sorhelle, 24.6 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2019-07-12;0.0;SN41175
2019-07-13;0.0;SN41175
2019-07-14;0.4;SN41175
2019-07-15;0.0;SN41175
2019-07-16;0.0;SN41175
2019-07-17;0.0;SN41175
2019-07-18;0.1;SN41175
2019-07-19;19.2;SN41175
2019-07-20;0.1;SN41175
2019-07-21;52.0;SN41175
2019-07-22;1.3;SN41175
2019-07-23;9.6;SN41175
2019-07-24;0.0;SN41175
2019-07-25;0.0;SN41175
2019-07-26;0.0;SN41175
2019-07-27;0.0;SN41175
2019-07-28;0.0;SN41175
2019-07-29;1.6;SN41175
2019-07-30;0.4;SN41175
2019-07-31;10.8;SN41175
2019-08-01;13.3;SN41175
2019-08-02;0.0;SN41175
2019-08-03;0.0;SN41175
2019-08-04;0.0;SN41175
2019-08-05;0.0;SN41175
2019-08-06;7.1;SN41175
2019-08-07;5.4;SN41175
2019-08-08;0.7;SN41175
2019-08-09;7.6;SN41175
2019-08-10;18.6;SN41175
2019-08-11;42.7;SN41175
2019-08-12;33.1;SN41175
2019-08-13;1.3;SN41175
2019-08-14;0.0;SN41175
2019-08-15;0.0;SN41175
2019-08-16;13.1;SN41175
2019-08-17;27.6;SN41175
2019-08-18;12.9;SN41175
2019-08-19;14.1;SN41175
2019-08-20;15.3;SN41175
2019-08-21;2.0;SN41175
2019-08-22;2.6;SN41175
2019-08-23;31.1;SN41175
2019-08-24;0.2;SN41175
2019-08-25;0.0;SN41175
2019-08-26;0.0;SN41175
2019-08-27;0.0;SN41175
2019-08-28;0.0;SN41175
2019-08-29;0.2;SN41175
2019-08-30;0.9;SN41175
2019-08-31;6.5;SN41175
2020-06-01;0.0;SN41175
2020-06-02;0.0;SN41175
2020-06-03;0.0;SN41175
2020-06-04;5.2;SN41175
2020-06-05;47.7;SN41175
2020-06-06;16.3;SN41175
2020-06-07;0.0;SN41175
2020-06-08;0.3;SN41175
2020-06-09;0.0;SN41175
2020-06-10;0.0;SN41175
2020-06-11;1.2;SN41175
2020-06-12;0.0;SN41175
2020-06-13;0.1;SN41175
2020-06-14;19.2;SN41175
2020-06-15;0.0;SN41175
2020-06-16;0.0;SN41175
2020-06-17;0.0;SN41175
2020-06-18;2.5;SN41175
2020-06-19;0.0;SN41175
2020-06-20;1.9;SN41175
2020-06-21;15.3;SN41175
2020-06-22;2.6;SN41175
2020-06-23;0.0;SN41175
2020-06-24;0.0;SN41175
2020-06-25;0.0;SN41175
2020-06-26;0.0;SN41175
2020-06-27;1.9;SN41175
2020-06-28;5.9;SN41175
2020-06-29;4.9;SN41175
2020-06-30;39.3;SN41175
2020-07-01;5.6;SN41175
2020-07-02;0.0;SN41175
2020-07-03;0.0;SN41175
2020-07-04;8.1;SN41175
2020-07-05;7.3;SN41175
2020-07-06;20.1;SN41175
2020-07-07;0.5;SN41175
2020-07-08;1.0;SN41175
2020-07-09;0.0;SN41175
2020-07-10;0.0;SN41175
2020-07-11;22.9;SN41175
2020-07-12;0.0;SN41175
2020-07-13;0.1;SN41175
2020-07-14;4.8;SN41175
2020-07-15;4.9;SN41175
2020-07-16;3.0;SN41175
2020-07-17;0.0;SN41175
2020-07-18;1.7;SN41175
2020-07-19;25.4;SN41175
2020-07-20;8.6;SN41175
2020-07-21;0.0;SN41175
2020-07-22;0.0;SN41175
2020-07-23;0.0;SN41175
2020-07-24;35.1;SN41175
2020-07-25;0.2;SN41175
2020-07-26;16.2;SN41175
2020-07-27;23.6;SN41175
2020-07-28;62.0;SN41175
2020-07-29;23.0;SN41175
2020-07-30;1.7;SN41175
2020-07-31;0.0;SN41175
2020-08-01;0.0;SN41175
2020-08-02;0.2;SN41175
2020-08-03;0.0;SN41175
2020-08-04;0.0;SN41175
2020-08-05;16.1;SN41175
2020-08-06;13.6;SN41175
2020-08-07;0.0;SN41175
2020-08-08;0.0;SN41175
2020-08-09;0.1;SN41175
2020-08-10;0.0;SN41175
2020-08-11;0.0;SN41175
2020-08-12;0.0;SN41175
2020-08-13;0.0;SN41175
2020-08-14;0.0;SN41175
2020-08-15;0.0;SN41175
2020-08-16;0.0;SN41175
2020-08-17;0.0;SN41175
2020-08-18;0.0;SN41175
2020-08-19;3.2;SN41175
2020-08-20;3.0;SN41175
2020-08-21;18.8;SN41175
2020-08-22;16.0;SN41175
2020-08-23;11.0;SN41175
2020-08-24;0.0;SN41175
2020-08-25;0.0;SN41175
2020-08-26;0.9;SN41175
2020-08-27;0.6;SN41175
2020-08-28;0.5;SN41175
2020-08-29;2.4;SN41175
2020-08-30;2.5;SN41175
2020-08-31;0.0;SN41175
2021-06-01;0.0;SN41175
2021-06-02;0.0;SN41175
2021-06-03;0.5;SN41175
2021-06-04;38.2;SN41175
2021-06-05;0.0;SN41175
2021-06-06;2.2;SN41175
2021-06-07;0.2;SN41175
2021-06-08;0.0;SN41175
2021-06-09;0.0;SN41175
2021-06-10;0.0;SN41175
2021-06-11;0.0;SN41175
2021-06-12;1.9;SN41175
2021-06-13;0.0;SN41175
2021-06-14;1.7;SN41175
2021-06-15;23.6;SN41175
2021-06-16;0.0;SN41175
2021-06-17;0.0;SN41175
2021-06-18;12.5;SN41175
2021-06-19;1.7;SN41175
2021-06-20;2.2;SN41175
2021-06-21;23.1;SN41175
2021-06-22;1.2;SN41175
2021-06-23;0.1;SN41175
2021-06-24;0.0;SN41175
2021-06-25;0.0;SN41175
2021-06-26;0.0;SN41175
2021-06-27;0.0;SN41175
2021-06-28;0.0;SN41175
2021-06-29;0.0;SN41175
2021-06-30;0.0;SN41175
2021-07-01;0.0;SN41175
